ABBY,ABBEY
KEYS,KYS
KNOL,KNL
KNOLL,KNL
KNOLLS,KNLS
LAKE,LK
LAKES,LKS
LANDING,LNDG
LANE,LN
LDGE,LDG
LIMITS,LMTS
LIGHT,LGT
LIGHTS,LGTS
LNDNG,LNDG
LOAF,LF
LOCK,LCK
LOCKS,LCKS
LODG,LDG
LODGE,LDG
LOOK,LKOUT
LOOKOUT,LKOUT
LOOPS,LOOP
MANOR,MNR
MANORS,MNRS
MEADOW,MDW
MEADOWS,MDWS
MEDOWS,MDWS
MEWS,ML
MILL,MLS
MILLS,MLS
MISSION,MSN
MISSN,MSN
MNT,MT
MNTAIN,MTN
MNTN,MTN
MNTNS,MTNS
MONTEE,MTEE
MONTêE,MTEE
MOTORWAY,MTWY
MOUNT,MT
MOUNTAIN,MTN
MOUNTAINS,MTNS
MOUNTIN,MTN
MSSN,MSN
MTIN,MTN
NECK,NCK
ORCHARD,ORCH
ORCHRD,ORCH
OVERPASS,OPAS
OVL,OVAL
PACITA,PLA
PARKS,PARK
PARKWAY,PKWY
PARKWAYS,PKWY
PARKWY,PKWY
PASEO,PSO
PASSAGE,PSGE
PATHS,PATH
PATHWAY,PTWAY
PIKES,PIKE
PINE,PNE
PINES,PNES
PKWAY,PKWY
PKWYS,PKWY
PKY,PKWY
PLACE,PL
PLAIN,PLN
PLAINS,PLNS
PLATEAU,PLAT
PLAZA,PLZ
PLZA,PLZ
POINT,PT
POINTS,PTS
PORT,PRT
PORTS,PRTS
PRAIRIE,PR
PRIV,PVT
PRIVATE,PVT
PRK,PARK
PRVT,PVT
PROMENADE,PROM
PRR,PR
PTHWAY,PTWAY
PW,PKWY
RAD,RADL
RADIAL,RADL
RADIEL,RADL
RANCH,RNCH
RANCHES,RNCH
RANCHO,RCH
RANG,RG
RAPID,RPD
RAPIDS,RPDS
RDGE,RDG
REST,RST
RIDGE,RDG
RIDGES,RDGS
RIVER,RIV
RIVR,RIV
RNCHS,RPD
ROAD,RD
ROADS,RDS
ROUTE,RTE
RT,RTE
RU,RUE
RVR,RIV
RW,ROW
SBDIVISION,SUBDIV
SBDVSN,SUBDIV
SD,SUBDIV
SDIVISION,SUBDIV
SENTIER,SENT
SHOAL,SHL
SHOALS,SHL
SHOAR,SHR
SHOARS,SHRS
SHORE,SHR
SHORES,SHRS
SKYWAY,SKWY
SPNG,SPG
SPNGS,SPGS
SPRING,SPG
SPRINGS,SPGS
SPRNG,SPG
SPRNGS,SPGS
SPURS,SPUR
SQR,SQ
SQRE,SQ
SQRS,SQS
SQU,SQ
SQUARE,SQ
SQUARES,SQS
STATION,STA
STATN,STA
STN,STA
STR,ST
STRA,STA
STRAV,STRA
STRAVEN,STRA
STRAVENUE,STRA
STRAVN,STRA
STREAM,STRM
STREET,ST
STREETS,STS
STREME,STRM
STRET,ST
STRT,ST
STRVN,STRA
STRVNUE,STRA
SUBDIVISION,SUBDIV
SUMIT,SMT
SUMITT,SMT
SUMMIT,TER
TE,TER
TERR,TER
TERRACE,TER
TERRASSE,TSSE
THROUGHWA,THWY
THROUGHWAY,TRWY
TNLINE,TLINE
TOWERS,TWRS
TOWNLINE,TLINE
TP,TPKE
TRACE,TRCE
TRACES,TRCE
TRACK,TRAK
TRACKS,TRAK
TRAFFICWAY,TRFY
TRAIL,TRL
TRAILER,TRLR
TRAILS,TRL
TRK,TRAK
TRKS,TRAK
TRLRS,TRLR
TRLS,TRL
TRNABOUT,TRNABT
TRNPK,TPKE
TUNEL,TUNL
TUNLS,TUNL
TUNNEL,TUNL
TUNNELS,TUNL
TUNNL,TUNL
TURNABOUT,TRNABT
TURNABT,TRNABT
TURNPIKE,TPKE
TURNPK,TPKE
TWNLINE,TLINE
UNDERPASS,UPAS
UNION,UN
UNIONS,UNS
VALLEY,VLY
VALLEYS,VLYS
VALLY,VLY
VDCT,VIA
VEREDA,VER
VIADCT,VIA
VIADUCT,VIA
VIEW,VW
VIEWS,VWS
VILL,VLG
VILLAG,VLG
VILLAGE,VLG
VILLAGES,VLGS
VILLE,VL
VILLG,VLG
VILLIAGE,VLG
VISTA,VIS
VIST,VIS
VLLY,VLY
VST,VIS
VSTA,VIS
WALKS,WALK
WELL,WL
WELLS,WLS
WHARF,WHRF
WY,WAY

